UF;Destino;Tipo;ÍNDICE GERAL;INFRAESTRUTURA GERAL;ACESSO;SERVIÇOS E EQUIPAMENTOS TURÍSTICOS;ATRATIVOS TURÍSTICOS;MARKETING E PROMOÇÃO DO TURISMO;POLÍTICAS PÚBLICAS;COOPERAÇÃO REGIONAL;MONITORAMENTO;ECONOMIA LOCAL;CAPACIDADE EMPRESARIAL;ASPECTOS SOCIAIS;ASPECTOS AMBIENTAIS;ASPECTOS CULTURAIS
GO;Alto Paraíso de Goiás;Não capital;44,0;56,8;42,9;38,7;68,3;24,6;53,9;47,9;25,2;41,6;5,2;50,8;60,5;45,1
RJ;Angra dos Reis;Não capital;59,5;55,5;70,1;48,9;57,8;51,9;50,2;67,4;50,5;57,3;65,9;65,3;75,0;56,8
SE;Aracaju;Capital;60,1;66,7;69,2;48,6;54,2;49,0;67,2;55,2;36,4;61,4;92,2;61,4;53,1;59,0
CE;Aracati;Não capital;44,5;55,0;46,9;28,0;56,8;26,4;44,5;51,0;15,2;46,9;38,5;54,5;55,1;53,2
RJ;Armação dos Búzios;Não capital;48,3;47,3;49,1;44,0;61,6;52,1;51,9;42,0;17,3;56,1;50,7;44,1;65,1;36,9
SC;Balneário Camboriú;Não capital;62,9;66,1;70,8;66,4;65,3;64,2;64,3;46,4;71,4;36,4;60,4;73,5;72,1;50,3
AM;Barcelos;Não capital;36,9;42,5;37,9;22,5;60,4;17,4;23,4;43,1;21,3;46,8;17,5;45,7;60,2;37,0
MA;Barreirinhas;Não capital;42,1;44,8;38,5;31,7;57,9;30,8;50,8;43,7;25,8;46,4;28,1;46,8;62,7;37,2
PA;Belém;Capital;66,1;79,9;72,8;66,9;72,4;49,3;55,1;44,0;37,1;64,5;82,1;66,5;74,6;73,2
MG;Belo Horizonte;Capital;74,9;83,7;75,7;75,4;66,6;85,6;74,0;54,8;76,9;81,7;93,7;69,7;67,8;64,4
RS;Bento Gonçalves;Não capital;65,7;79,1;61,1;66,9;65,5;50,8;66,8;74,2;37,6;78,2;74,2;68,8;58,5;66,0
RR;Boa Vista;Capital;54,2;67,8;65,0;54,2;47,0;63,4;48,3;33,4;29,7;45,6;55,2;66,7;65,2;43,5
MS;Bonito;Não capital;51,2;50,5;59,8;39,8;69,3;53,4;50,0;55,5;20,5;69,8;34,8;51,8;60,7;39,6
